=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [46/109] block 18,469,200   131s: acct_R=2,169,502
  [47/109] block 18,519,600   134s: acct_R=2,153,346
  [48/109] block 18,570,000   131s: acct_R=2,177,497
  [49/109] block 18,620,400   137s: acct_R=2,204,547
  [50/109] block 18,670,800   133s: acct_R=2,228,684
  [51/109] block 18,721,200   135s: acct_R=2,210,422
  [52/109] block 18,771,600   137s: acct_R=2,248,902
  [53/109] block 18,822,000   133s: acct_R=2,212,510
  [54/109] block 18,872,400   136s: acct_R=2,260,951
  [55/109] block 18,922,800   139s: acct_R=2,232,489
  [56/109] block 18,973,200   135s: acct_R=2,154,815
  [57/109] block 19,023,600   133s: acct_R=2,098,250
  [58/109] block 19,074,000   134s: acct_R=2,120,954
  [59/109] block 19,124,400   140s: acct_R=2,148,861
  [60/109] block 19,174,800   140s: acct_R=2,168,281
  [61/109] block 19,225,200   136s: acct_R=2,204,037
  [62/109] block 19,275,600   139s: acct_R=2,206,885
  [63/109] block 19,326,000   140s: acct_R=2,158,943
  [64/109] block 19,376,400   142s: acct_R=2,117,058
  [65/109] block 19,426,800   151s: acct_R=2,078,532
  [66/109] block 19,477,200   152s: acct_R=2,220,972
  [67/109] block 19,527,600   153s: acct_R=2,239,883
  [68/109] block 19,578,000   153s: acct_R=2,220,026
  [69/109] block 19,628,400   154s: acct_R=2,308,815
  [70/109] block 19,678,800   156s: acct_R=2,406,026
  [71/109] block 19,729,200   155s: acct_R=2,455,487
  [72/109] block 19,779,600   155s: acct_R=2,562,892
  [73/109] block 19,830,000   157s: acct_R=2,632,759
  [74/109] block 19,880,400   157s: acct_R=2,825,427
  [75/109] block 19,930,800   158s: acct_R=2,938,359
  [76/109] block 19,981,200   162s: acct_R=2,981,413
  [77/109] block 20,031,600   160s: acct_R=2,996,053
  [78/109] block 20,082,000   162s: acct_R=3,005,791
  [79/109] block 20,132,400   162s: acct_R=2,909,424
  [80/109] block 20,182,800   162s: acct_R=2,855,178
  [81/109] block 20,233,200   163s: acct_R=2,938,103
  [82/109] block 20,283,600   161s: acct_R=2,949,167
  [83/109] block 20,334,000   162s: acct_R=2,934,713
  [84/109] block 20,384,400   162s: acct_R=3,031,877
  [85/109] block 20,434,800   160s: acct_R=2,876,215
  [86/109] block 20,485,200   158s: acct_R=2,799,398
  [87/109] block 20,535,600   158s: acct_R=2,516,126
  [88/109] block 20,586,000   157s: acct_R=2,449,071
